run_type,ranks,total_rounds,rounds_per_task,total_darts,darts_per_task,time_taken,pi_est
SAME ROUND FOR EACH PROCESS,1,100,-1,1000,1000,0.0026579,3.14756
DIVIDE ROUND AMONG PROCESSES,1,100,100,1000,1000,0.00263698,3.14756
SAME ROUND FOR EACH PROCESS,2,100,-1,1000,500,0.00140617,3.14096
DIVIDE ROUND AMONG PROCESSES,2,100,50,1000,500,0.000678542,3.14976
SAME ROUND FOR EACH PROCESS,4,100,-1,1000,250,0.000750208,3.14976
DIVIDE ROUND AMONG PROCESSES,4,100,25,1000,250,0.000176813,3.14816
SAME ROUND FOR EACH PROCESS,8,100,-1,1000,125,0.000404606,3.1568
DIVIDE ROUND AMONG PROCESSES,8,100,12,1000,125,5.32707e-05,3.17333
SAME ROUND FOR EACH PROCESS,16,100,-1,1000,62,0.000219896,3.14516
DIVIDE ROUND AMONG PROCESSES,16,100,6,1000,62,2.54186e-05,3.1828
SAME ROUND FOR EACH PROCESS,32,100,-1,1000,31,0.000162669,3.16129
DIVIDE ROUND AMONG PROCESSES,32,100,3,1000,31,2.05692e-05,3.05376
SAME ROUND FOR EACH PROCESS,64,100,-1,1000,15,0.00389409,3.17333
DIVIDE ROUND AMONG PROCESSES,64,100,1,1000,15,2.06288e-05,2.4
SAME ROUND FOR EACH PROCESS,1,100,-1,1000000,1000000,2.62301,3.14165
DIVIDE ROUND AMONG PROCESSES,1,100,100,1000000,1000000,2.64503,3.14165
SAME ROUND FOR EACH PROCESS,2,100,-1,1000000,500000,1.80134,3.14146
DIVIDE ROUND AMONG PROCESSES,2,100,50,1000000,500000,0.907064,3.14153
SAME ROUND FOR EACH PROCESS,4,100,-1,1000000,250000,0.656428,3.14153
DIVIDE ROUND AMONG PROCESSES,4,100,25,1000000,250000,0.168899,3.14166
SAME ROUND FOR EACH PROCESS,8,100,-1,1000000,125000,0.332633,3.14158
DIVIDE ROUND AMONG PROCESSES,8,100,12,1000000,125000,0.0412909,3.14278
SAME ROUND FOR EACH PROCESS,16,100,-1,1000000,62500,0.165312,3.14166
DIVIDE ROUND AMONG PROCESSES,16,100,6,1000000,62500,0.0100124,3.14158
SAME ROUND FOR EACH PROCESS,32,100,-1,1000000,31250,0.114181,3.14249
DIVIDE ROUND AMONG PROCESSES,32,100,3,1000000,31250,0.00350513,3.14667
SAME ROUND FOR EACH PROCESS,64,100,-1,1000000,15625,0.0612372,3.14254
DIVIDE ROUND AMONG PROCESSES,64,100,1,1000000,15625,0.00434071,3.1616
SAME ROUND FOR EACH PROCESS,1,100,-1,1000000000,1000000000,2615.84,3.14159
DIVIDE ROUND AMONG PROCESSES,1,100,100,1000000000,1000000000,2663.37,3.14159
SAME ROUND FOR EACH PROCESS,2,100,-1,1000000000,500000000,1301.17,3.14159
DIVIDE ROUND AMONG PROCESSES,2,100,50,1000000000,500000000,654.638,3.14157
SAME ROUND FOR EACH PROCESS,4,100,-1,1000000000,250000000,650.311,3.14157
DIVIDE ROUND AMONG PROCESSES,4,100,25,1000000000,250000000,163.787,3.14158
SAME ROUND FOR EACH PROCESS,8,100,-1,1000000000,125000000,326.866,3.14158
DIVIDE ROUND AMONG PROCESSES,8,100,12,1000000000,125000000,39.5689,3.14161
SAME ROUND FOR EACH PROCESS,16,100,-1,1000000000,62500000,163.577,3.14158
DIVIDE ROUND AMONG PROCESSES,16,100,6,1000000000,62500000,9.95769,3.14163
SAME ROUND FOR EACH PROCESS,32,100,-1,1000000000,31250000,82.0594,3.14162
DIVIDE ROUND AMONG PROCESSES,32,100,3,1000000000,31250000,2.50678,3.1416
SAME ROUND FOR EACH PROCESS,64,100,-1,1000000000,15625000,44.9402,3.14162
DIVIDE ROUND AMONG PROCESSES,64,100,1,1000000000,15625000,0.490835,3.14144
