run_type,ranks,total_rounds,rounds_per_task,total_darts,darts_per_task,time_taken,pi_est
SAME ROUND FOR EACH PROCESS,1,100,-1,1000,1000,0.00977261,3.14756
DIVIDE ROUND AMONG PROCESSES,1,100,100,1000,1000,0.00803623,3.14756
SAME ROUND FOR EACH PROCESS,2,100,-1,1000,500,0.00558326,3.14096
DIVIDE ROUND AMONG PROCESSES,2,100,50,1000,500,0.00243511,3.14976
SAME ROUND FOR EACH PROCESS,4,100,-1,1000,250,0.00277997,3.14976
DIVIDE ROUND AMONG PROCESSES,4,100,25,1000,250,0.000715013,3.14816
SAME ROUND FOR EACH PROCESS,8,100,-1,1000,125,0.00197969,3.1568
DIVIDE ROUND AMONG PROCESSES,8,100,12,1000,125,0.000194071,3.17333
SAME ROUND FOR EACH PROCESS,16,100,-1,1000,62,0.0117149,3.14516
DIVIDE ROUND AMONG PROCESSES,16,100,6,1000,62,8.03005e-05,3.1828
SAME ROUND FOR EACH PROCESS,32,100,-1,1000,31,0.010407,3.16129
DIVIDE ROUND AMONG PROCESSES,32,100,3,1000,31,0.000891293,3.05376
SAME ROUND FOR EACH PROCESS,64,100,-1,1000,15,0.0174867,3.17333
DIVIDE ROUND AMONG PROCESSES,64,100,1,1000,15,0.00109989,2.4
SAME ROUND FOR EACH PROCESS,1,100,-1,1000000,1000000,3.64086,3.14165
DIVIDE ROUND AMONG PROCESSES,1,100,100,1000000,1000000,3.51798,3.14165
SAME ROUND FOR EACH PROCESS,2,100,-1,1000000,500000,1.82106,3.14146
DIVIDE ROUND AMONG PROCESSES,2,100,50,1000000,500000,0.898393,3.14153
SAME ROUND FOR EACH PROCESS,4,100,-1,1000000,250000,0.972136,3.14153
DIVIDE ROUND AMONG PROCESSES,4,100,25,1000000,250000,0.227843,3.14166
SAME ROUND FOR EACH PROCESS,8,100,-1,1000000,125000,0.546443,3.14158
DIVIDE ROUND AMONG PROCESSES,8,100,12,1000000,125000,0.0586256,3.14278
SAME ROUND FOR EACH PROCESS,16,100,-1,1000000,62500,0.310115,3.14166
DIVIDE ROUND AMONG PROCESSES,16,100,6,1000000,62500,0.0148855,3.14158
SAME ROUND FOR EACH PROCESS,32,100,-1,1000000,31250,0.196127,3.14249
DIVIDE ROUND AMONG PROCESSES,32,100,3,1000000,31250,0.00428933,3.14667
SAME ROUND FOR EACH PROCESS,64,100,-1,1000000,15625,0.130844,3.14254
DIVIDE ROUND AMONG PROCESSES,64,100,1,1000000,15625,0.00108942,3.1616
